SNo,Date,Price,Open,High,Low,Vol.,Change %
2407,01-22-2015,0.01602,0.01523,0.0175,0.01523,0,5.19
2406,01-23-2015,0.016,0.01602,0.017,0.016,0,-0.12
2405,01-24-2015,0.01739,0.016,0.01739,0.015,0,8.69
2404,01-25-2015,0.017,0.01739,0.01739,0.0156,0,-2.24
2403,01-26-2015,0.01469,0.017,0.0175,0.01469,0,-13.59
2402,01-27-2015,0.0155,0.01469,0.017,0.01469,0,5.51
2401,01-28-2015,0.015,0.0155,0.0167,0.0131,0,-3.23
2400,01-29-2015,0.0135,0.015,0.015,0.0131,0,-10
2399,01-30-2015,0.015,0.0135,0.015,0.0135,1020,11.11
2398,01-31-2015,0.01499,0.015,0.015,0.0135,1220,-0.07
2397,02-01-2015,0.01352,0.01499,0.01499,0.01351,100,-9.81
2396,02-02-2015,0.01327,0.015,0.015,0.01327,0,-1.85
2395,02-03-2015,0.0148,0.01327,0.015,0.01327,0,11.53
2394,02-04-2015,0.014,0.0148,0.0148,0.014,0,-5.41
2393,02-05-2015,0.01573,0.014,0.01573,0.013,0,12.36
2392,02-06-2015,0.0155,0.01573,0.01695,0.014,340,-1.46
2391,02-07-2015,0.01468,0.0155,0.0155,0.01401,220,-5.29
2390,02-08-2015,0.01428,0.01468,0.01506,0.01428,0,-2.72
2389,02-09-2015,0.0135,0.01428,0.01467,0.0135,0,-5.46
2388,02-10-2015,0.01464,0.0135,0.01467,0.011,0,8.44
2387,02-11-2015,0.01462,0.01464,0.01464,0.011,0,-0.14
2386,02-12-2015,0.0143,0.01462,0.01463,0.01101,0,-2.19
2385,02-13-2015,0.01445,0.0143,0.01472,0.01201,0,1.05
2384,02-14-2015,0.012,0.01445,0.01508,0.012,0,-16.96
2383,02-15-2015,0.012,0.012,0.012,0.012,0,0
2382,02-16-2015,0.01508,0.01509,0.01509,0.012,0,25.67
2381,02-17-2015,0.01301,0.01508,0.01508,0.01202,0,-13.73
2380,02-18-2015,0.01499,0.01301,0.01499,0.01301,0,15.22
2379,02-19-2015,0.01307,0.01499,0.01499,0.01307,0,-12.81
2378,02-20-2015,0.01307,0.01307,0.01498,0.01307,0,0
2377,02-21-2015,0.01307,0.01307,0.0141,0.01307,0,0
2376,02-22-2015,0.01307,0.01307,0.01403,0.01307,0,0
2375,02-23-2015,0.01403,0.01307,0.01403,0.01307,0,7.35
2374,02-24-2015,0.01343,0.01403,0.01403,0.01307,0,-4.28
2373,02-25-2015,0.014,0.01343,0.014,0.01307,0,4.24
2372,02-26-2015,0.013,0.014,0.014,0.0116,40,-7.14
2371,02-27-2015,0.01206,0.013,0.01398,0.0116,0,-7.23
2370,02-28-2015,0.01178,0.01206,0.0132,0.0116,0,-2.32
2369,03-01-2015,0.01101,0.01178,0.01348,0.011,0,-6.54
2368,03-02-2015,0.00661,0.01101,0.01208,0.00661,0,-39.95
2367,03-03-2015,0.0085,0.00661,0.01205,0.00661,56020,28.65
2366,03-04-2015,0.012,0.0085,0.012,0.00843,370,41.09
2365,03-05-2015,0.012,0.012,0.012,0.00933,4580,0
